TCM_Formula_ID,TCM_Formula_Name,VTM_Herb_ID,VTM_Herb_Name
PT11,QING TAN JIANG HUO TANG,H9,BAN HA
PT11,QING TAN JIANG HUO TANG,H153,PHUC LINH
PT12,SHEN QU CHA,H2,HUONG PHU
PT12,SHEN QU CHA,H153,PHUC LINH
PT16,CHAI HU JIA DA HUANG MANG XIAO SANG PIAO SHAO TANG,H9,BAN HA
PT16,CHAI HU JIA DA HUANG MANG XIAO SANG PIAO SHAO TANG,H630,DAI TAO
PT19,LIANG ZHI TANG,H17,DUONG QUY
PT19,LIANG ZHI TANG,H23,BACH THUOC
PT23,JIE E TANG,H17,DUONG QUY
PT23,JIE E TANG,H23,BACH THUOC
PT44,XUAN ZHI SAN,H17,DUONG QUY
PT44,XUAN ZHI SAN,H153,PHUC LINH
PT68,NEI TUO SAN,H2,HUONG PHU
PT68,NEI TUO SAN,H17,DUONG QUY
PT89,SHEN XIAO FU YUAN TONG QI SAN,H23,BACH THUOC
PT89,SHEN XIAO FU YUAN TONG QI SAN,H17,DUONG QUY
PT93,DANG GUI YANG XIE TANG,H17,DUONG QUY
PT93,DANG GUI YANG XIE TANG,H153,PHUC LINH
PT101,AN TAI YI CHAN JIN SU YIN,H23,BACH THUOC
PT101,AN TAI YI CHAN JIN SU YIN,H17,DUONG QUY
PT111,DANG GUI GUI ZHI TANG,H23,BACH THUOC
PT111,DANG GUI GUI ZHI TANG,H17,DUONG QUY
PT111,DANG GUI GUI ZHI TANG,H630,DAI TAO
PT118,SI WU HE XIAO CHAI HU TANG,H9,BAN HA
PT118,SI WU HE XIAO CHAI HU TANG,H23,BACH THUOC
PT118,SI WU HE XIAO CHAI HU TANG,H17,DUONG QUY
PT137,SHENG HUA TANG,H1,ICH MAU
PT137,SHENG HUA TANG,H17,DUONG QUY
PT150,SHENG JIN DAN,H23,BACH THUOC
PT150,SHENG JIN DAN,H17,DUONG QUY
PT150,SHENG JIN DAN,H2,HUONG PHU
PT152,JIA WEI AN TAI YIN,H630,DAI TAO
PT152,JIA WEI AN TAI YIN,H17,DUONG QUY
PT163,XIAO FENG SAN,H9,BAN HA
PT163,XIAO FENG SAN,H17,DUONG QUY
PT165,FAN ZHENG TANG,H9,BAN HA
PT165,FAN ZHENG TANG,H17,DUONG QUY
PT165,FAN ZHENG TANG,H153,PHUC LINH
PT168,JIA WEI BU ZHONG YI QI TANG,H17,DUONG QUY
PT168,JIA WEI BU ZHONG YI QI TANG,H23,BACH THUOC
PT236,WEN ZHONG HUA ZHUO TANG,H17,DUONG QUY
PT236,WEN ZHONG HUA ZHUO TANG,H153,PHUC LINH
PT237,KAI YU SAN,H17,DUONG QUY
PT237,KAI YU SAN,H2,HUONG PHU
PT237,KAI YU SAN,H23,BACH THUOC
PT237,KAI YU SAN,H153,PHUC LINH
PT242,ZI YIN BU XIN TANG,H23,BACH THUOC
PT242,ZI YIN BU XIN TANG,H17,DUONG QUY
PT242,ZI YIN BU XIN TANG,H630,DAI TAO
PT244,GAN JU TANG,H17,DUONG QUY
PT244,GAN JU TANG,H23,BACH THUOC
PT249,DING TONG RU SHEN TANG,H23,BACH THUOC
PT249,DING TONG RU SHEN TANG,H153,PHUC LINH
PT283,JIU YIN QING LI YIN,H23,BACH THUOC
PT283,JIU YIN QING LI YIN,H17,DUONG QUY
PT291,SI ZHI XIANG FU WAN,H2,HUONG PHU
PT291,SI ZHI XIANG FU WAN,H17,DUONG QUY
PT291,SI ZHI XIANG FU WAN,H23,BACH THUOC
PT294,DIAO JING GUO QI TANG,H23,BACH THUOC
PT294,DIAO JING GUO QI TANG,H17,DUONG QUY
PT294,DIAO JING GUO QI TANG,H2,HUONG PHU
PT313,JIAN PI SAN,H9,BAN HA
PT313,JIAN PI SAN,H630,DAI TAO
PT315,DIAO JING WAN,H17,DUONG QUY
PT315,DIAO JING WAN,H23,BACH THUOC
PT315,DIAO JING WAN,H2,HUONG PHU
PT315,DIAO JING WAN,H1,ICH MAU
PT315,DIAO JING WAN,H153,PHUC LINH
PT322,SHU FENG YANG RONG TANG,H17,DUONG QUY
PT322,SHU FENG YANG RONG TANG,H23,BACH THUOC
PT338,JIA WEI DI HUANG TANG,H17,DUONG QUY
PT338,JIA WEI DI HUANG TANG,H23,BACH THUOC
PT338,JIA WEI DI HUANG TANG,H153,PHUC LINH
PT343,HE ZHONG JUAN TONG TANG,H9,BAN HA
PT343,HE ZHONG JUAN TONG TANG,H2,HUONG PHU
PT353,ER XIANG YIN,H2,HUONG PHU
PT353,ER XIANG YIN,H17,DUONG QUY
PT361,DA FANG FENG TANG,H17,DUONG QUY
PT361,DA FANG FENG TANG,H153,PHUC LINH
PT365,JIA JIAN BU YIN WAN,H23,BACH THUOC
PT365,JIA JIAN BU YIN WAN,H17,DUONG QUY
PT368,REN SHEN QIONG GUI TANG,H9,BAN HA
PT368,REN SHEN QIONG GUI TANG,H17,DUONG QUY
PT390,XIAN SHOU WAI SHANG JIAN XIE ZHU FANG,H1,ICH MAU
PT390,XIAN SHOU WAI SHANG JIAN XIE ZHU FANG,H23,BACH THUOC
PT423,HUANG LIAN TANG,H2,HUONG PHU
PT423,HUANG LIAN TANG,H17,DUONG QUY
PT437,AN TAI YIN,H23,BACH THUOC
PT437,AN TAI YIN,H17,DUONG QUY
PT437,AN TAI YIN,H153,PHUC LINH
PT447,JIAO JIA SAN,H9,BAN HA
PT447,JIAO JIA SAN,H17,DUONG QUY
PT447,JIAO JIA SAN,H23,BACH THUOC
PT447,JIAO JIA SAN,H153,PHUC LINH
PT459,QIAN JIN FU TONG FANG,H23,BACH THUOC
PT459,QIAN JIN FU TONG FANG,H17,DUONG QUY
PT459,QIAN JIN FU TONG FANG,H630,DAI TAO
PT462,JIN BU HUAN SHEN HUA GAO,H17,DUONG QUY
PT462,JIN BU HUAN SHEN HUA GAO,H2,HUONG PHU
PT462,JIN BU HUAN SHEN HUA GAO,H23,BACH THUOC
PT472,HU YAN TANG,H9,BAN HA
PT472,HU YAN TANG,H17,DUONG QUY
PT493,BA XIAN TANG,H9,BAN HA
PT493,BA XIAN TANG,H23,BACH THUOC
PT493,BA XIAN TANG,H17,DUONG QUY
PT493,BA XIAN TANG,H153,PHUC LINH
PT494,JIAN PI WAN,H9,BAN HA
PT494,JIAN PI WAN,H23,BACH THUOC
PT494,JIAN PI WAN,H17,DUONG QUY
PT504,YANG XIE RUN JIN TANG,H23,BACH THUOC
PT504,YANG XIE RUN JIN TANG,H17,DUONG QUY
PT506,QING TAI WAN QUAN YIN,H23,BACH THUOC
PT506,QING TAI WAN QUAN YIN,H17,DUONG QUY
PT506,QING TAI WAN QUAN YIN,H153,PHUC LINH
PT515,HUO XIANG TANG,H9,BAN HA
PT515,HUO XIANG TANG,H630,DAI TAO
PT523,JIA JIAN DA JIAN ZHONG TANG,H9,BAN HA
PT523,JIA JIAN DA JIAN ZHONG TANG,H17,DUONG QUY
PT534,TIAN WANG BU XIN DAN,H17,DUONG QUY
PT534,TIAN WANG BU XIN DAN,H153,PHUC LINH
PT552,BA FENG TANG,H17,DUONG QUY
PT552,BA FENG TANG,H153,PHUC LINH
