ID,System,Name
PV101,VTM,Ich mau
H1,Shared,ICH MAU
H473,VTM,XUYEN KHUNG
H17,Shared,DUONG QUY
H23,Shared,BACH THUOC
H630,Shared,DAI TAO
H276,VTM,QUIT - TRAN BI
H2,Shared,HUONG PHU
H315,VTM,O DUOC
PV102,VTM,Huong ngai
H3,VTM,NGAI CUU
H4,VTM,BACH DONG NU
PV103,VTM,An thai
H469,VTM,TIA TO
PV104,VTM,Vang da
PV105,VTM,"Viem sung tai giua, tac tia sua"
H5,VTM,CAY DIEP CA
PV106,VTM,Tieu ban ha gia phuc linh thang
H9,Shared,BAN HA
H153,Shared,PHUC LINH
PV107,VTM,"Hen suyen, non"
PV108,VTM,Dieu kinh
H10,VTM,VO RE CAY BONG
PV109,VTM,Loi sua
H11,VTM,HAT BONG
PV110,VTM,Kinh nguyet khong deu
H13,VTM,CAY TO MOC
H28,VTM,DUYEN HO SACH
H258,VTM,SON TRA
H6,VTM,CAY HONG HOA
H681,VTM,NGU LINH CHI
PV111,VTM,De xong ra huyet nhieu
PV112,VTM,Bai tu vat
PV113,VTM,Duong quy kien trung thang
PV114,VTM,Bang huyet tu cung
H21,VTM,O RO
PV115,VTM,Thuoc duoc cam thao thang
PV116,VTM,Que chi gia linh truat
H280,VTM,BACH TRUAT
PV117,VTM,Chay mau cam
H24,VTM,XICH THUOC
PV118,VTM,Bang huyet bach doi
PV119,VTM,Duyen ho sach thang
PV120,VTM,"Sung vu, tac tia sua"
H29,VTM,BO CONG ANH VIET NAM
PV121,VTM,Dau da day
H114,VTM,CAY SAU DAU RUNG
PV122,VTM,KI
H32,VTM,KIM NGAN
PV123,VTM,Ngan kieu tan
H54,VTM,LIEN KIEU
H520,VTM,CAT CANH
H441,VTM,BAC HA
H457,VTM,NGUU BANG (QUA)
H447,VTM,DAM TRUC DIEP
PV124,VTM,Don chua sang tri dau nhuc
H38,VTM,CON RET
PV125,VTM,Don chua mun nhot
PV126,VTM,"Don chua dau nhuc, te thap"
H37,VTM,CAY MA TIEN THAO
PV127,VTM,"Don chua nhuc dau, thien dau thong"
H47,VTM,CAO BAN
H482,VTM,PHONG PHONG
H442,VTM,BACH CHI
H425,VTM,TE TAN
PV128,VTM,Sung vu
PV129,VTM,Trang nhac
H34,VTM,HA KHO THAO
PT11,TCM,QING TAN JIANG HUO TANG
PT12,TCM,SHEN QU CHA
PT16,TCM,CHAI HU JIA DA HUANG MANG XIAO SANG PIAO SHAO TANG
PT19,TCM,LIANG ZHI TANG
PT23,TCM,JIE E TANG
PT44,TCM,XUAN ZHI SAN
PT68,TCM,NEI TUO SAN
PT89,TCM,SHEN XIAO FU YUAN TONG QI SAN
PT93,TCM,DANG GUI YANG XIE TANG
PT101,TCM,AN TAI YI CHAN JIN SU YIN
PT111,TCM,DANG GUI GUI ZHI TANG
PT118,TCM,SI WU HE XIAO CHAI HU TANG
PT137,TCM,SHENG HUA TANG
PT150,TCM,SHENG JIN DAN
PT152,TCM,JIA WEI AN TAI YIN
PT163,TCM,XIAO FENG SAN
PT165,TCM,FAN ZHENG TANG
PT168,TCM,JIA WEI BU ZHONG YI QI TANG
PT236,TCM,WEN ZHONG HUA ZHUO TANG
PT237,TCM,KAI YU SAN
PT242,TCM,ZI YIN BU XIN TANG
PT244,TCM,GAN JU TANG
PT249,TCM,DING TONG RU SHEN TANG
PT283,TCM,JIU YIN QING LI YIN
PT291,TCM,SI ZHI XIANG FU WAN
PT294,TCM,DIAO JING GUO QI TANG
PT313,TCM,JIAN PI SAN
PT315,TCM,DIAO JING WAN
PT322,TCM,SHU FENG YANG RONG TANG
PT338,TCM,JIA WEI DI HUANG TANG
PT343,TCM,HE ZHONG JUAN TONG TANG
PT353,TCM,ER XIANG YIN
PT361,TCM,DA FANG FENG TANG
PT365,TCM,JIA JIAN BU YIN WAN
PT368,TCM,REN SHEN QIONG GUI TANG
PT390,TCM,XIAN SHOU WAI SHANG JIAN XIE ZHU FANG
PT423,TCM,HUANG LIAN TANG
PT437,TCM,AN TAI YIN
PT447,TCM,JIAO JIA SAN
PT459,TCM,QIAN JIN FU TONG FANG
PT462,TCM,JIN BU HUAN SHEN HUA GAO
PT472,TCM,HU YAN TANG
PT493,TCM,BA XIAN TANG
PT494,TCM,JIAN PI WAN
PT504,TCM,YANG XIE RUN JIN TANG
PT506,TCM,QING TAI WAN QUAN YIN
PT515,TCM,HUO XIANG TANG
PT523,TCM,JIA JIAN DA JIAN ZHONG TANG
PT534,TCM,TIAN WANG BU XIN DAN
PT552,TCM,BA FENG TANG
